ニンジャスレイヤー,4786,4786,5000,ニンジャスレイヤー,名詞,固有名詞,一般,*,*,*,ニンジャスレイヤー,ニンジャスレイヤー,*,*,*,*,*
ダイハードテイルズ,4786,4786,5000,ダイハードテイルズ,名詞,固有名詞,一般,*,*,*,ダイハードテイルズ,ダイハードテイルズ,*,*,*,*,*
